X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0,0
7,4,oct,tue,90.6,35.4,669.1,6.7,18,33,0.9,0,0
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0
8,6,mar,fri,91.7,33.3,77.5,9,8.3,97,4,0.2,0
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0
8,6,aug,sun,92.3,85.3,488,14.7,22.2,29,5.4,0,0
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0
8,6,aug,mon,91.5,145.4,608.2,10.7,8,86,2.2,0,0
8,6,sep,tue,91,129.5,692.6,7,13.1,63,5.4,0,0
3,4,sep,fri,93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88
4,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,36.85
2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0,37.02
6,4,sep,tue,91,129.5,692.6,7,18.7,43,2.7,0,103.39
9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66
4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88
8,6,aug,sun,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48
2,2,sep,sat,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94
1,2,sep,tue,91,129.5,692.6,7,18.8,40,2.2,0,212.88
6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84
